               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.012026,           0.0032143,          0.00030569,             0.99967,                   1,               0.995,              0.9016,           0.0074459,           0.0019685,          0.00022033,            0.005644,            0.005644,            0.005644
                 134,            0.012035,           0.0032154,          0.00030256,             0.99965,                   1,               0.995,             0.89926,           0.0079057,           0.0019987,          0.00023681,            0.005611,            0.005611,            0.005611
                 135,            0.012501,           0.0031192,          0.00038462,             0.99974,                   1,               0.995,             0.89263,           0.0076529,           0.0019982,          0.00026395,            0.005578,            0.005578,            0.005578
                 136,            0.012956,           0.0031337,          0.00040474,             0.99964,                   1,               0.995,             0.88643,           0.0081297,           0.0020392,          0.00028199,            0.005545,            0.005545,            0.005545
                 137,            0.011551,           0.0031855,          0.00033637,             0.99964,                   1,               0.995,             0.89856,           0.0076193,             0.00197,          0.00023601,            0.005512,            0.005512,            0.005512
                 138,            0.012245,           0.0031309,          0.00029831,             0.99969,                   1,               0.995,             0.89885,           0.0074488,            0.001967,          0.00022393,            0.005479,            0.005479,            0.005479
                 139,            0.012389,           0.0032397,          0.00033491,             0.99973,                   1,               0.995,             0.90199,           0.0075145,           0.0019541,          0.00024131,            0.005446,            0.005446,            0.005446
                 140,            0.011875,           0.0031281,          0.00036273,             0.99967,                   1,               0.995,             0.90413,           0.0073965,           0.0019494,          0.00023507,            0.005413,            0.005413,            0.005413
                 141,             0.01138,           0.0029877,           0.0003032,             0.99967,                   1,               0.995,             0.90303,           0.0078923,           0.0019816,          0.00021842,             0.00538,             0.00538,             0.00538
                 142,            0.011731,            0.003105,          0.00031016,             0.99973,                   1,               0.995,             0.90991,           0.0074862,           0.0019469,          0.00022177,            0.005347,            0.005347,            0.005347
                 143,            0.011729,           0.0029733,          0.00029078,              0.9997,                   1,               0.995,             0.90582,           0.0073296,           0.0019485,          0.00021634,            0.005314,            0.005314,            0.005314
                 144,            0.011778,           0.0029927,          0.00028898,             0.99971,                   1,               0.995,             0.90217,           0.0076642,           0.0019511,          0.00022478,            0.005281,            0.005281,            0.005281
                 145,            0.011645,           0.0031995,           0.0003204,             0.99973,                   1,               0.995,             0.90175,           0.0075583,           0.0019955,          0.00023256,            0.005248,            0.005248,            0.005248
                 146,            0.011815,           0.0031327,          0.00029066,             0.99974,                   1,               0.995,             0.90057,            0.007475,           0.0019657,          0.00022978,            0.005215,            0.005215,            0.005215
                 147,            0.011825,           0.0030767,          0.00031854,             0.99974,                   1,               0.995,             0.89423,           0.0077763,           0.0019754,           0.0002332,            0.005182,            0.005182,            0.005182
                 148,            0.011387,           0.0030565,          0.00031504,             0.99969,                   1,               0.995,             0.90086,            0.007473,            0.001977,          0.00022682,            0.005149,            0.005149,            0.005149
                 149,            0.011346,           0.0029991,          0.00026951,             0.99965,                   1,               0.995,             0.90138,           0.0073484,           0.0019193,          0.00020207,            0.005116,            0.005116,            0.005116
                 150,            0.011229,           0.0030119,          0.00028108,             0.99965,                   1,               0.995,             0.90236,           0.0072607,           0.0019277,          0.00019257,            0.005083,            0.005083,            0.005083
                 151,            0.012048,           0.0031215,           0.0002735,             0.99958,                   1,               0.995,              0.8963,           0.0077148,           0.0019352,          0.00021066,             0.00505,             0.00505,             0.00505
                 152,            0.010797,           0.0031459,          0.00027425,             0.99966,                   1,               0.995,             0.89785,           0.0072497,           0.0018991,          0.00020497,            0.005017,            0.005017,            0.005017
                 153,            0.011373,           0.0031468,          0.00026216,             0.99957,                   1,               0.995,             0.90502,           0.0070309,           0.0019085,          0.00019852,            0.004984,            0.004984,            0.004984
                 154,            0.012029,           0.0030004,          0.00028313,             0.99969,                   1,               0.995,             0.90637,           0.0071026,           0.0019107,           0.0002177,            0.004951,            0.004951,            0.004951
                 155,            0.011427,           0.0031409,          0.00029172,             0.99968,                   1,               0.995,             0.90161,           0.0074051,           0.0019276,          0.00022801,            0.004918,            0.004918,            0.004918
                 156,            0.012022,           0.0030889,          0.00029877,             0.99955,                   1,               0.995,             0.89686,           0.0077788,            0.001987,          0.00023479,            0.004885,            0.004885,            0.004885
                 157,            0.011215,           0.0031229,          0.00031859,             0.99957,                   1,               0.995,             0.90109,           0.0071273,           0.0019357,          0.00022737,            0.004852,            0.004852,            0.004852
                 158,            0.010324,           0.0031242,          0.00025938,             0.99969,                   1,               0.995,              0.9008,            0.007376,           0.0019051,           0.0001986,            0.004819,            0.004819,            0.004819
